param_id,depth,num_iterations,random_restarts,true_alpha,stop_criterion
1,30,1000,1,"[0, 1]",0.0001
2,30,1000,1,"[0.1, 0.9]",0.0001
3,30,1000,1,"[0.2, 0.8]",0.0001
4,30,1000,1,"[0.3, 0.7]",0.0001
5,30,1000,1,"[0.4, 0.6]",0.0001
